2026-09-09T21:01:21+08:00
---PBSNODES -aSj---
                                                        mem       ncpus   nmics   ngpus
vnode           state           njobs   run   susp      f/t        f/t     f/t     f/t   jobs
--------------- --------------- ------ ----- ------ ------------ ------- ------- ------- -------
60252[].gaas    xianbin* gpu_aisg sh-slv5-1*    --    1  40  400gb 72:00 B   -- 
60322.gaas      rion.yo* gpu_ded  LLM_GLM53  15126*   1  96  2000g 1440: R 29:03
60392.gaas      hzhang0* gpu_as   wan22_ti5* 25217*   1  96  2000g 300:0 R 27:22
60492.gaas      ismailm* gpu_as   camera-in* 17405*   1  48  1000g 24:00 R 23:08
60506.gaas      anocha.s gpu_ded  STDIN      29524*   1  12  250gb 32:00 R 24:00
60529.gaas      anhminh* gpu_ded  v3m500_7B  38321*   1  12  250gb 48:00 R 07:35
60530.gaas      anhminh* gpu_ded  v3aime_7B     --    1  12  250gb 48:00 H   -- 
60731.gaas      lees0224 gpu_free dtm_cd_abl 36777*   1  12  250gb 04:00 R 00:37
60738.gaas      yixian.* gpu_ded  STDIN      36658*   1  12  250gb 16:00 R 11:05
60746.gaas      n250194* gpu_ded  awm_q4b_g* 109278   1  24  500gb 72:00 R 10:49
60781.gaas      xiaoshe* gpu_as   v10altprod 36071*   1  12  250gb 16:00 R 09:50
60782.gaas      xiaoshe* gpu_as   v10altprod 19504*   1  12  250gb 18:00 R 09:50
60783.gaas      xiaoshe* gpu_as   v10altprod    --    1  12  250gb 06:00 Q   -- 
60784.gaas      anhminh* gpu_ded  v3pool_1.* 749392   1  12  250gb 48:00 R 09:46
60785.gaas      anhminh* gpu_ded  v3dir_1.5B    --    1  12  250gb 06:00 H   -- 
60786.gaas      anhminh* gpu_ded  v3m500_1.*    --    1  12  250gb 48:00 H   -- 
60787.gaas      anhminh* gpu_ded  v3aime_1.*    --    1  12  250gb 48:00 H   -- 
60788.gaas      xiaohao* gpu_aisg vlm-valid*    --    1   8   96gb 02:00 H   -- 
60798.gaas      jianzhu* gpu_as   qwen_sft_* 773765   1  48  1000g 48:00 R 09:25
60827.gaas      rion.yo* gpu_ded  LLM_DEEPS* 35196*   1  48  1000g 1440: R 08:06
