2026-09-10T08:01:33+08:00
---PBSNODES -aSj---
                                                        mem       ncpus   nmics   ngpus
vnode           state           njobs   run   susp      f/t        f/t     f/t     f/t   jobs
--------------- --------------- ------ ----- ------ ------------ ------- ------- ------- -------
61211.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61212.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61213.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61214.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61215.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61216.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61217.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61218.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61219.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61220.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61221.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61222.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61223.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61224.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61225.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61226.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61227.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61228.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61229.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61230.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61231.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61232.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61233.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61234.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61235.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61236.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61237.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61238.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61239.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61240.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61241.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61242.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61243.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61244.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61245.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61246.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61247.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61248.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
