WARNING: group: unknown groupid 1304617061

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      10.04
2                      20.12
4                      41.02
8                      81.96
16                    162.99
32                    195.30
64                    374.17
128                   812.71
256                  1448.10
512                  2434.29
1024                 4983.93
2048                 7072.92
4096                 7805.23
8192                17705.65
16384               24912.83
32768               34968.71
65536               41891.51
131072              46414.56
262144              49427.06
524288              85844.64
1048576             82010.00
2097152             87547.87
4194304             87742.05
