WARNING: group: unknown groupid 1304617061
rsh_pbsdsh_container: HOST=hpc-gaas-g11 idx=1 cmd=[    OPAL_PREFIX=/opt/hpcx/ompi ; export OPAL_PREFIX;    PATH=/usr/local/mpi/bin:$PATH ; export PATH ; LD_LIBRARY_PATH=/usr/local/mpi/lib:${LD_LIBRARY_PATH:-} ; export LD_LIBRARY_PATH ; DYLD_LIBRARY_PATH=/usr/local/mpi/lib:${DYLD_LIBRARY_PATH:-} ; export DYLD_LIBRARY_PATH ;   /usr/local/mpi/bin/orted -mca ess "env" -mca ess_base_jobid "512622592" -mca ess_base_vpid 1 -mca ess_base_num_procs "2" -mca orte_node_regex "hpc-gaas-g[2:14,11]@0(2)" -mca orte_hnp_uri "512622592.0;tcp://10.20.0.11,192.168.230.20,172.16.2.142,172.17.0.1:35649" --mca plm_rsh_agent "/home/pham0094/hpl_hpcg_hplmxp_container/HPL-MxP-Manual-Test/HPL-MxP-Agent-Test/multi-node-test/rsh_pbsdsh_container.sh" --mca plm_rsh_no_tree_spawn "1" --mca plm_rsh_num_concurrent "1" --mca routed "direct" -mca plm "rsh" -mca coll_hcoll_enable "0" -mca pml "ucx" -mca hwloc_base_binding_policy "none" -mca pmix "^s1,s2,cray,isolated"]

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.05
2                       8.20
4                      16.35
8                      32.86
16                     65.83
32                    131.29
64                    224.53
128                   495.23
256                   753.47
512                  1423.55
1024                 3495.76
2048                 6817.83
4096                11861.54
8192                14030.47
16384               21196.74
32768               32996.27
65536               39996.70
131072              44904.58
262144              50711.88
524288              59091.02
1048576             87120.57
2097152             87729.45
4194304             88165.62
