WARNING: group: unknown groupid 1304617061

# OSU MPI-CUDA Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
4                      18.97
8                      18.86
16                     18.83
32                     18.85
64                     18.83
128                    18.81
256                    18.82
512                    18.70
1024                   18.64
2048                   18.68
4096                   28.47
8192                   28.55
16384                  28.93
32768                  29.09
65536                  29.02
131072                 29.16
262144                 29.95
524288                 30.74
1048576                32.31
