WARNING: group: unknown groupid 1304617061

# OSU MPI-CUDA Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.22
2                       0.44
4                       0.87
8                       1.75
16                      3.49
32                      6.98
64                     13.97
128                    27.85
256                    55.89
512                   111.46
1024                  223.05
2048                  445.24
4096                  876.58
8192                 1783.58
16384                3562.81
32768                7128.63
65536               14276.45
131072              28528.95
262144              56805.61
524288             111497.47
1048576            176167.05
2097152            237998.20
4194304            288742.79
