WARNING: group: unknown groupid 1304617061

# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
4                       1.02
8                       1.05
16                      1.05
32                      1.05
64                      1.04
128                     1.17
256                     1.23
512                     1.30
1024                    1.65
2048                    2.17
4096                    3.18
8192                    5.10
16384                  12.44
32768                  12.98
65536                  16.07
131072                 22.26
262144                 33.15
524288                 50.10
1048576                89.73
