WARNING: group: unknown groupid 1304617061
rsh_pbsdsh_container: HOST=hpc-gaas-g11 idx=1 cmd=[    OPAL_PREFIX=/opt/hpcx/ompi ; export OPAL_PREFIX;    PATH=/usr/local/mpi/bin:$PATH ; export PATH ; LD_LIBRARY_PATH=/usr/local/mpi/lib:${LD_LIBRARY_PATH:-} ; export LD_LIBRARY_PATH ; DYLD_LIBRARY_PATH=/usr/local/mpi/lib:${DYLD_LIBRARY_PATH:-} ; export DYLD_LIBRARY_PATH ;   /usr/local/mpi/bin/orted -mca ess "env" -mca ess_base_jobid "1200685056" -mca ess_base_vpid 1 -mca ess_base_num_procs "2" -mca orte_node_regex "hpc-gaas-g[2:14,11]@0(2)" -mca orte_hnp_uri "1200685056.0;tcp://10.20.0.11,192.168.230.20,172.16.2.142,172.17.0.1:38075" --mca plm_rsh_agent "/home/pham0094/hpl_hpcg_hplmxp_container/HPL-MxP-Manual-Test/HPL-MxP-Agent-Test/multi-node-test/rsh_pbsdsh_container.sh" --mca plm_rsh_no_tree_spawn "1" --mca plm_rsh_num_concurrent "1" --mca routed "direct" -mca plm "rsh" -mca coll_hcoll_enable "0" -mca pml "ucx" -mca hwloc_base_binding_policy "none" -mca pmix "^s1,s2,cray,isolated"]

# OSU MPI-CUDA Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      14.29
2                      14.32
4                      14.26
8                      14.35
16                     14.34
32                     14.60
64                     14.66
128                    14.70
256                    14.80
512                    14.94
1024                   15.14
2048                   15.34
4096                   15.79
8192                   16.54
16384                  26.11
32768                  47.83
65536                  83.82
131072                159.28
262144                306.84
524288                380.72
1048576               739.33
2097152              1450.07
4194304              2880.39
