WARNING: group: unknown groupid 1304617061

# OSU MPI-CUDA Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.91
2                      16.88
4                      16.95
8                      16.90
16                     16.84
32                     17.26
64                     17.20
128                    17.17
256                    17.26
512                    17.35
1024                   17.53
2048                   17.77
4096                    9.35
8192                    9.32
16384                   9.32
32768                   9.32
65536                   9.36
131072                  9.69
262144                 10.06
524288                 10.94
1048576                12.21
2097152                15.06
4194304                20.46
